companyid;companyname;ticker;price;p_l;dy;p_vp;p_ebit;p_ativo;ev_ebit;margembruta;margemebit;margemliquida;p_sr;p_capitalgiro;p_ativocirculante;giroativos;roe;roa;roic;dividaliquidapatrimonioliquido;dividaliquidaebit;pl_ativo;passivo_ativo;liquidezcorrente;peg_ratio;receitas_cagr5;lucros_cagr5;liquidezmediadiaria;vpa;lpa;valormercado;segmentid;sectorid;subsectorid;subsectorname;segmentname;sectorname
216;GRUPO CASAS BAHIA S.A.;VVAR4;95,68;-5,09;;2,05;-54,48;0,28;-47,57;28,99;-0,55;-5,91;0,3;-1,92;-0,48;0,94;-40,32;-5,54;-11,42;1,58;-41,99;0,14;0,86;0,74;0,0;3,76;;;46,63;-18,8;932766496,11;20;2,0;8,0;Comércio;Eletrodomésticos;Consumo Cíclico
799;CM HOSPITALAR S.A.;VVEO3;12,12;24,09;;1,25;6,0;0,39;8,5;15,9;6,01;1,5;0,36;1,29;-0,97;1,08;5,17;1,62;9,84;0,52;2,5;0,31;0,69;2,04;-0,58;;;18625651,77;9,69;0,5;3899672944,64;80;7,0;39,0;Serv.Méd.Hospit..Análises e Diagnósticos;Serv.Méd.Hospit..Análises e Diagnósticos;Saúde
189;WEG S.A.;WEGE3;33,14;28,0;1,85;8,63;23,38;4,63;22,9;31,56;18,8;15,7;4,39;14,46;-14,91;1,05;30,82;16,52;25,44;-0,18;-0,48;0,54;0,45;1,86;0,7;25,71;34,19;178724473,39;3,84;1,18;139141091633,7;9;1,0;3,0;Máquinas e Equipamentos;Motores . Compressores e Outros;Bens Industriais
683;WESTWING COMERCIO VAREJISTA S.A.;WEST3;1,3;-2,33;;0,53;-1,76;0,39;-0,26;42,07;-38,84;-29,31;0,68;0,92;-1,05;0,58;-22,68;-16,91;-28,18;-0,45;1,5;0,75;0,25;3,16;-0,07;367,94;;139599,29;2,46;-0,56;143879572,2;21;2,0;8,0;Comércio;Produtos Diversos;Consumo Cíclico
217;WHIRLPOOL S.A.;WHRL3;4,19;17,67;5,66;2,46;7,03;0,66;6,48;16,27;8,15;3,24;0,57;10,55;-2,33;1,16;13,92;3,75;17,7;-0,25;-0,71;0,27;0,73;1,1;-0,52;12,32;-3,95;46558,58;1,7;0,24;6443639750,48;20;2,0;8,0;Comércio;Eletrodomésticos;Consumo Cíclico
217;WHIRLPOOL S.A.;WHRL4;4,55;18,98;8,32;2,64;7,55;0,71;6,48;16,27;8,15;3,24;0,62;11,33;-2,5;1,16;13,92;3,75;17,7;-0,25;-0,71;0,27;0,73;1,1;-0,56;12,32;-3,95;132474,71;1,7;0,24;6443639750,48;20;2,0;8,0;Comércio;Eletrodomésticos;Consumo Cíclico
356;WIZ CO PARTICIPAÇÕES E CORRETAGEM DE SEGUROS S.A.;WIZC3;6,44;10,62;6,89;2,25;2,65;0,45;2,92;58,84;37,07;9,26;0,98;-17,73;-0,58;0,46;21,18;4,24;22,73;0,22;0,26;0,2;0,59;0,9;-0,28;12,37;-9,41;3535798,03;2,87;0,61;1033001041,72;58;4,0;26,0;Previdência e Seguros;Corretoras de Seguros;Financeiro e Outros
162;WLM PART. E COMÉRCIO DE MÁQUINAS E VEÍCULOS S.A.;WLMM3;22,53;7,76;1,77;1,22;5,51;0,99;5,48;12,97;7,04;4,99;0,39;2,27;-2,26;2,56;15,77;12,8;15,79;-0,14;-0,61;0,81;0,19;4,54;-1,13;32,16;;6881,83;18,4;2,9;907138391,6;1;1,0;1,0;Comércio;Material de Transporte;Bens Industriais
162;WLM PART. E COMÉRCIO DE MÁQUINAS E VEÍCULOS S.A.;WLMM4;26,9;9,27;1,63;1,46;6,58;1,19;5,48;12,97;7,04;4,99;0,46;2,71;-2,7;2,56;15,77;12,8;15,79;-0,14;-0,61;0,81;0,19;4,54;-1,35;32,16;;18450,7;18,4;2,9;907138391,6;1;1,0;1,0;Comércio;Material de Transporte;Bens Industriais
252;ESTACIO PARTICIPACOES S.A.;YDUQ3;21,05;34,6;1,31;2,01;7,61;0,66;12,48;59,29;17,03;3,75;1,3;7,47;-0,9;0,51;5,81;1,92;9,55;1,29;4,87;0,33;0,67;1,52;-0,07;6,2;-15,03;61365649,58;10,48;0,61;6506320313,55;26;2,0;10,0;Diversos;Serviços Educacionais;Consumo Cíclico
256;ZAMP S.A.;ZAMP3;5,72;-13,68;;1,18;16,56;0,4;24,54;65,31;2,49;-3,02;0,41;59,21;-0,5;0,96;-8,65;-2,89;2,75;0,57;7,98;0,33;0,67;1,03;-0,25;15,36;;12628827,65;4,84;-0,42;1575033156,84;28;2,0;11,0;Hoteis e Restaurantes;Restaurante e Similares;Consumo Cíclico
